arrest_id_univ,person_id,filing_date_univ,age_at_arrest,sex,race,arrest_id_event,filing_date_event,charge_degree,offense_category,y,current_charge_felony,num_fel_arrests_last_year
5879415,1788,2017-04-17,46.96164383561644,M,,10809517,2013-02-06,felony,violent,0,1,0
5879415,1788,2017-04-17,46.96164383561644,M,,10853147,2013-01-22,felony,violent,0,1,0
5879415,1788,2017-04-17,46.96164383561644,M,,10853148,2013-01-22,felony,property,0,1,0
5879415,1788,2017-04-17,46.96164383561644,M,,8611552,2015-02-18,felony,violent,0,1,0
5879415,1788,2017-04-17,46.96164383561644,M,,10928764,2012-12-20,felony,violent,0,1,0
5879415,1788,2017-04-17,46.96164383561644,M,,5879415,2017-04-17,felony,violent,0,1,0
5879415,1788,2017-04-17,46.96164383561644,M,,10945223,2012-12-14,felony,violent,0,1,0
5879415,1788,2017-04-17,46.96164383561644,M,,8707044,2015-01-20,felony,violent,0,1,0
5159413,1901,2017-09-18,53.865753424657534,M,mixed,7528243,2016-01-27,felony,violent,0,1,0
5159413,1901,2017-09-18,53.865753424657534,M,mixed,4955269,2017-10-24,misdemeanor,violent,0,0,0
5159413,1901,2017-09-18,53.865753424657534,M,mixed,5159413,2017-09-18,misdemeanor,violent,0,0,0
5159413,1901,2017-09-18,53.865753424657534,M,mixed,7606339,2015-12-31,felony,violent,0,1,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,10122626,2013-10-01,misdemeanor,drug,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,11443719,2012-06-22,felony,drug,0,1,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,10211646,2013-09-01,misdemeanor,drug,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,8963923,2014-10-18,misdemeanor,drug,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,9536696,2014-04-17,misdemeanor,property,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,1407670,2019-06-24,misdemeanor,property,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,18093,2020-04-29,misdemeanor,drug,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,3551844,2018-06-22,felony,property,0,1,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,11511493,2012-05-31,misdemeanor,drug,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,11387859,2012-07-12,felony,drug,0,1,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,10983030,2012-12-02,misdemeanor,other,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,4550037,2018-01-06,misdemeanor,property,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,2633738,2018-11-27,misdemeanor,property,0,0,0
3551844,2003,2018-06-22,53.465753424657535,M,Black,4587068,2017-12-27,misdemeanor,property,0,0,0
7591648,2326,2016-01-06,31.378082191780823,M,Black,9137058,2014-08-21,felony,property,1,1,1
7591648,2326,2016-01-06,31.378082191780823,M,Black,7373601,2016-03-08,felony,drug,1,1,1
7591648,2326,2016-01-06,31.378082191780823,M,Black,3228229,2018-08-03,felony,drug,1,1,1
7591648,2326,2016-01-06,31.378082191780823,M,Black,972447,2019-09-16,felony,violent,1,1,1
7591648,2326,2016-01-06,31.378082191780823,M,Black,8699807,2015-01-22,misdemeanor,drug,1,0,1
7591648,2326,2016-01-06,31.378082191780823,M,Black,8871799,2014-11-20,misdemeanor,drug,1,0,1
7591648,2326,2016-01-06,31.378082191780823,M,Black,9480353,2014-05-06,felony,other,1,1,1
7591648,2326,2016-01-06,31.378082191780823,M,Black,8680184,2015-01-29,felony,property,1,1,1
